start_row,end_row,match_length,a_count,b_count,c_count
23330,23336,7,3,3,1
23339,23340,2,1,0,1
23355,23358,4,3,0,1
23366,23371,6,2,3,1
23381,23382,2,1,0,1
23430,23433,4,2,1,1
23438,23440,3,1,1,1
23480,23481,2,1,0,1
23487,23488,2,1,0,1
23510,23516,7,4,1,2
23519,23521,3,2,0,1
23545,23551,7,4,2,1
23563,23565,3,2,0,1
23569,23571,3,2,0,1
23603,23604,2,1,0,1
23608,23609,2,1,0,1
23653,23656,4,1,2,1
23658,23659,2,1,0,1
23673,23674,2,1,0,1
23676,23678,3,1,1,1
23687,23691,5,4,0,1
23715,23716,2,1,0,1
23723,23726,4,2,1,1
23739,23741,3,2,0,1
23759,23761,3,2,0,1
23763,23764,2,1,0,1
23781,23786,6,2,3,1
23787,23789,3,1,1,1
23795,23798,4,3,0,1
23807,23808,2,1,0,1
23809,23812,4,3,0,1
23813,23817,5,3,1,1
23832,23835,4,3,0,1
23849,23851,3,1,1,1
23854,23857,4,2,0,2
23869,23873,5,4,0,1
23903,23906,4,1,2,1
23909,23912,4,2,1,1
23913,23914,2,1,0,1
23917,23919,3,2,0,1
23935,23938,4,3,0,1
23949,23952,4,2,1,1
23963,23965,3,2,0,1
23976,23977,2,1,0,1
23981,23984,4,1,0,3
23993,23997,5,3,1,1
24012,24015,4,2,1,1
24016,24017,2,1,0,1
24025,24027,3,2,0,1
24060,24065,6,4,0,2
24087,24089,3,2,0,1
24102,24106,5,4,0,1
24111,24112,2,1,0,1
24176,24178,3,2,0,1
24194,24199,6,5,0,1
24213,24214,2,1,0,1
24230,24231,2,1,0,1
24361,24364,4,1,2,1
24371,24373,3,1,1,1
24376,24377,2,1,0,1
24385,24386,2,1,0,1
24392,24396,5,2,1,2
24437,24439,3,2,0,1
24480,24482,3,2,0,1
24486,24491,6,5,0,1
24497,24498,2,1,0,1
24504,24507,4,3,0,1
24529,24533,5,4,0,1
24536,24537,2,1,0,1
24541,24542,2,1,0,1
